pollutant,feature_name,domain,tsfel_config_name,value
SO2,0_ECDF_1,statistical,ECDF,0.00546448087431694
SO2,0_ECDF_2,statistical,ECDF,0.00819672131147541
SO2,0_ECDF_3,statistical,ECDF,0.01092896174863388
SO2,0_ECDF_4,statistical,ECDF,0.01366120218579235
SO2,0_ECDF_5,statistical,ECDF,0.01639344262295082
SO2,0_ECDF_6,statistical,ECDF,0.01912568306010929
SO2,0_ECDF_7,statistical,ECDF,0.02185792349726776
SO2,0_ECDF_8,statistical,ECDF,0.02459016393442623
SO2,0_ECDF_9,statistical,ECDF,0.0273224043715847
SO2,0_ECDF Percentile_0,statistical,ECDF Percentile,-7.665e-05
SO2,0_ECDF Percentile_1,statistical,ECDF Percentile,0.00017239
SO2,0_ECDF Percentile Count_0,statistical,ECDF Percentile Count,73.0
SO2,0_ECDF Percentile Count_1,statistical,ECDF Percentile Count,292.0
SO2,0_Entropy,statistical,Entropy,1.0000000000000002
SO2,0_Histogram mode,statistical,Histogram mode,1.0515999999999965e-05
SO2,0_Interquartile range,statistical,Interquartile range,0.00019009270833333334
SO2,0_Kurtosis,statistical,Kurtosis,0.20422505748844433
SO2,0_Max,statistical,Max,0.00052536
SO2,0_Mean,statistical,Mean,4.4447937158469944e-05
SO2,0_Mean absolute deviation,statistical,Mean absolute deviation,0.0001256895692914091
SO2,0_Median,statistical,Median,2.166e-05
SO2,0_Median absolute deviation,statistical,Median absolute deviation,9.091666666666668e-05
SO2,0_Min,statistical,Min,-0.00041072
SO2,0_Peak to peak distance,statistical,Peak to peak distance,0.0009360799999999999
SO2,0_Root mean square,statistical,Root mean square,0.0001675942235472634
SO2,0_Skewness,statistical,Skewness,0.4105129799287647
SO2,0_Standard deviation,statistical,Standard deviation,0.00016159271223903262
SO2,0_Variance,statistical,Variance,2.611220464876681e-08
SO2,0_Area under the curve,temporal,Area under the curve,0.038791865023809526
SO2,0_Autocorrelation,temporal,Autocorrelation,1.0
SO2,0_Centroid,temporal,Centroid,212.1737210547208
SO2,0_Mean absolute diff,temporal,Mean absolute diff,0.00012921657534246576
SO2,0_Mean diff,temporal,Mean diff,-1.2139726027397228e-07
SO2,0_Median absolute diff,temporal,Median absolute diff,8.638500000000001e-05
SO2,0_Median diff,temporal,Median diff,-7.940833333333337e-06
SO2,0_Negative turning points,temporal,Negative turning points,85.0
SO2,0_Neighbourhood peaks,temporal,Neighbourhood peaks,18.0
SO2,0_Positive turning points,temporal,Positive turning points,84.0
SO2,0_Signal distance,temporal,Signal distance,365.00000624110777
SO2,0_Slope,temporal,Slope,3.8241777731817203e-07
SO2,0_Sum absolute diff,temporal,Sum absolute diff,0.047164050000000006
SO2,0_Zero crossing rate,temporal,Zero crossing rate,112.0
SO2,0_Spectrogram mean coefficient_0.02Hz,spectral,Spectrogram mean coefficient,5.494365690156e-08
SO2,0_Spectrogram mean coefficient_0.03Hz,spectral,Spectrogram mean coefficient,7.078284907416062e-08
SO2,0_Spectrogram mean coefficient_0.05Hz,spectral,Spectrogram mean coefficient,6.365566873379156e-08
SO2,0_Spectrogram mean coefficient_0.06Hz,spectral,Spectrogram mean coefficient,9.601428642274217e-08
SO2,0_Spectrogram mean coefficient_0.08Hz,spectral,Spectrogram mean coefficient,7.127755153507563e-08
SO2,0_Spectrogram mean coefficient_0.0Hz,spectral,Spectrogram mean coefficient,2.169756391913753e-09
SO2,0_Spectrogram mean coefficient_0.11Hz,spectral,Spectrogram mean coefficient,6.711607651912302e-08
SO2,0_Spectrogram mean coefficient_0.13Hz,spectral,Spectrogram mean coefficient,7.3341034651436e-08
SO2,0_Spectrogram mean coefficient_0.15Hz,spectral,Spectrogram mean coefficient,1.1701444396265495e-07
SO2,0_Spectrogram mean coefficient_0.16Hz,spectral,Spectrogram mean coefficient,5.717491814499132e-08
SO2,0_Spectrogram mean coefficient_0.18Hz,spectral,Spectrogram mean coefficient,4.662225289654125e-08
SO2,0_Spectrogram mean coefficient_0.19Hz,spectral,Spectrogram mean coefficient,1.0234162552459839e-07
SO2,0_Spectrogram mean coefficient_0.1Hz,spectral,Spectrogram mean coefficient,8.251741789975002e-08
SO2,0_Spectrogram mean coefficient_0.21Hz,spectral,Spectrogram mean coefficient,2.551414869337091e-08
SO2,0_Spectrogram mean coefficient_0.23Hz,spectral,Spectrogram mean coefficient,4.594049001077996e-08
SO2,0_Spectrogram mean coefficient_0.24Hz,spectral,Spectrogram mean coefficient,2.4913694797636347e-08
SO2,0_Spectrogram mean coefficient_0.26Hz,spectral,Spectrogram mean coefficient,3.1421077465687473e-08
SO2,0_Spectrogram mean coefficient_0.27Hz,spectral,Spectrogram mean coefficient,2.5257174753969846e-08
SO2,0_Spectrogram mean coefficient_0.29Hz,spectral,Spectrogram mean coefficient,2.8565623537950484e-08
SO2,0_Spectrogram mean coefficient_0.31Hz,spectral,Spectrogram mean coefficient,2.6983766011136177e-08
