Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,22,5,0.21782211348292638,0.8432367277588405,21.92321010134921,651.7812751209888,0.9983306734014451
NO2,22,6,0.20140679743887402,0.8999993272078753,20.186528739918238,572.8349445488326,0.9983306734014451
NO2,22,7,0.16317531850483366,1.0235588933680757,19.327846211428582,501.05617309045965,0.9983306734014451
NO2,22,8,0.16846250688729333,0.9815168238094171,18.071079937369184,454.6681107296937,0.9983306734014451
NO2,22,9,0.16626481641982968,0.892734717893358,16.85814916540689,419.1310416401309,0.9983306734014451
NO2,22,10,0.17428480049002876,0.8622081072050743,16.80801506464432,369.23288322783384,0.9983306734014451
NO2,23,2,0.7458399336175354,0.162836149130007,29.49153217772212,1323.7611743780537,0.9988462194105706
NO2,23,3,0.1913857346590631,1.1234345581432712,24.52921015457956,998.4803900258582,0.9988462194105706
NO2,23,4,0.205334664823446,0.9973011571512108,22.166013773990812,808.9910149783495,0.9988462194105706
NO2,23,5,0.21744480198660185,0.8440869349668153,21.881180938388027,653.0350919744332,0.9988462194105706
NO2,23,6,0.1864347068101832,0.9471823186871574,20.072777805103375,575.6121949703484,0.9988462194105706
NO2,23,7,0.16295119566749774,1.0254756956556883,19.280116798804418,502.30039830795243,0.9988462194105706
NO2,23,8,0.16800821115659736,0.9830594094924934,18.02163531728912,455.91770385131565,0.9988462194105706
NO2,23,9,0.16557927330499658,0.8952035667490361,16.80857847681769,420.3710588137578,0.9988462194105706
NO2,23,10,0.1734757239969894,0.864142715684465,16.75231592107395,370.4652878498502,0.9988462194105706
NO2,24,2,0.7457320913308232,0.16291749425799582,29.4721709156068,1324.6307988671624,0.9992023313986249
NO2,24,3,0.19117017152451735,1.12413725518637,24.507952693040735,999.3479055072073,0.9992023313986249
NO2,24,4,0.20508988497589256,0.9980073755281424,22.14235047634637,809.8572563580221,0.9992023313986249
NO2,24,5,0.21718402072428492,0.8447053658729796,21.854032502778743,653.8619780891114,0.9992023313986249
NO2,24,6,0.18625306772675257,0.9478101537732688,20.046324276489525,576.3977774159837,0.9992023313986249
NO2,24,7,0.16267712032715712,1.0264541612116107,19.249378144774415,503.1164260600343,0.9992023313986249
NO2,24,8,0.16764536162159133,0.9841351944591292,17.989243200005397,456.7477594520172,0.9992023313986249
NO2,24,9,0.16521046952381147,0.8962372114553254,16.778059800110373,421.1538189870394,0.9992023313986249
NO2,24,10,0.173032904206253,0.865119930962002,16.717421768716054,371.25321787459006,0.9992023313986249
NO2,25,2,0.7456665314330945,0.16296652366304024,29.460669619098294,1325.14792864561,0.9994140964649246
NO2,25,3,0.1910428601484126,1.1245449454979237,24.495531712287473,999.8589025998465,0.9994140964649246
NO2,25,4,0.20493830403496485,0.9984432490929125,22.128226812752374,810.3742349683084,0.9994140964649246
NO2,25,5,0.21700492895230433,0.8450746991289485,21.83678983629866,654.3785003568214,0.9994140964649246
NO2,25,6,0.18608313886314598,0.9483417154659676,20.029066755718176,576.8992593996404,0.9994140964649246
NO2,25,7,0.1624660623288371,1.0271291659840642,19.230307400389812,503.6191211358884,0.9994140964649246
NO2,25,8,0.16747357411049937,0.9847371097822538,17.970677886645106,457.2281015678422,0.9994140964649246
NO2,25,9,0.16507150852758057,0.8968098709174966,16.760294269430002,421.6124489057597,0.9994140964649246
NO2,25,10,0.1728391174239431,0.8656929936840317,16.696594779022643,371.7245418735952,0.9994140964649246
NO2,26,2,0.7456157974172799,0.16300716051397884,29.45166141412884,1325.5532438601085,0.9995800732382342
NO2,26,3,0.1909632313669182,1.1248544921494934,24.485634202847482,1000.2635359872072,0.9995800732382342
NO2,26,4,0.2048289142608198,0.9988078191725147,22.117184776600567,810.7790595261353,0.9995800732382342
NO2,26,5,0.2168754535247638,0.8453732320411055,21.82331351760886,654.7829200552168,0.9995800732382342
NO2,26,6,0.18594182217406602,0.9486475972314047,20.01505914167104,577.3033758599969,0.9995800732382342
NO2,26,7,0.16235219083509705,1.0276435885381558,19.21543801253232,504.0120557770789,0.9995800732382342
NO2,26,8,0.16732207133454927,0.9852342144942867,17.955302309720256,457.622220778139,0.9995800732382342
NO2,26,9,0.15212533026111036,1.1991127080559771,16.664519054698076,423.68532880910357,0.9995800732382342
NO2,26,10,0.1726247156543074,0.8662466714479793,16.6795653060103,372.10799642545066,0.9995800732382342
NO2,27,2,0.7455749192620253,0.16303775314827856,29.444368490095933,1325.8815633809381,0.9997145202380446
NO2,27,3,0.19088247261617866,1.125132486800476,24.477599948713817,1000.5918530599342,0.9997145202380446
NO2,27,4,0.2030091508355668,0.9841061388240666,22.103463199659295,811.2242299443383,0.9997145202380446
NO2,27,5,0.2167807930665562,0.845714085382566,21.8124149581058,655.1103925936818,0.9997145202380446
NO2,27,6,0.18580715461340502,0.9489417178846541,20.003772513525547,577.6297177972881,0.9997145202380446
NO2,27,7,0.1621765495939278,1.0280182427240119,19.203227390092046,504.3341573985063,0.9997145202380446
NO2,27,8,0.16713803705843414,0.9856368859010791,17.94266176379848,457.9457257778239,0.9997145202380446
NO2,27,9,0.1518914454797372,1.1997950670970985,16.651888389321485,424.00790632615565,0.9997145202380446
NO2,27,10,0.1723993261986995,0.8666651846542741,16.665499531477387,372.4242327809153,0.9997145202380446
NO2,28,2,0.7455465787707678,0.16305847195424933,29.439351648375954,1326.1075105633554,0.9998070457089561
NO2,28,3,0.19081902498884007,1.1253008836241527,24.47214744676842,1000.8160235453595,0.9998070457089561
NO2,28,4,0.2029380226894417,0.9842637995744935,22.097385802589862,811.4482824118527,0.9998070457089561
NO2,28,5,0.21670631236713156,0.8458515138104374,21.805155131533095,655.330608372025,0.9998070457089561
NO2,28,6,0.18575321832860128,0.9491391909547581,19.99615091845951,577.8512515815836,0.9998070457089561
NO2,28,7,0.16208542174659343,1.0282244570519465,19.195316287949456,504.5457510380388,0.9998070457089561
NO2,28,8,0.1670544446840401,0.985849140209706,17.93451054942802,458.15720392219407,0.9998070457089561
NO2,28,9,0.1517770404723254,1.2000842396427283,16.643294260975804,424.22806860492574,0.9998070457089561
NO2,28,10,0.17228486751470115,0.8668559176746667,16.65644305460679,372.6303073509113,0.9998070457089561
