Fitur,Nilai_Dewi,Mean_36_Data_Lain,Std_36_Data_Lain,ZScore_Dewi,Selisih_Absolut,Abs_ZScore
negative_turning,94.0,61.111111111111114,14.143706884846152,2.3253372794459346,32.888888888888886,2.3253372794459346
positive_turning,92.0,61.388888888888886,14.170951732889115,2.1601309275555796,30.611111111111114,2.1601309275555796
ecdf_slope,0.0230840258541089,35513.04191118556,18398.938588922643,-1.9301667134505711,35513.01882715971,1.9301667134505711
spectral_entropy,0.5778449235788642,0.7392976430336683,0.08632847538670674,-1.8702139558422615,0.1614527194548041,1.8702139558422615
petrosian_fractal_dimension,1.0326928842411969,1.0230312922575988,0.0065449565203657386,1.476188872077971,0.009661591983598061,1.476188872077971
fundamental_frequency,0.0054644808743169,0.0034303504191495666,0.0013926493869010222,1.4606192156474933,0.0020341304551673334,1.4606192156474933
skewness,0.5505088386901775,0.16193009453744944,0.2741984388980121,1.4171442613400862,0.3885787441527281,1.4171442613400862
calc_centroid,150.37106811667283,181.7756793563865,22.808397731267707,-1.3768880922600506,31.40461123971366,1.3768880922600506
lpcc,0.7734920247126139,0.7037813860971303,0.05268161651854837,1.3232441071913508,0.06971063861548366,1.3232441071913508
median_frequency,0.0437158469945355,0.06674627973133573,0.020277062053627268,-1.1357874565798072,0.023030432736800235,1.1357874565798072
spectral_centroid,0.1161279195855266,0.12880368416138321,0.014716855137829029,-0.8613093257454253,0.012675764575856618,0.8613093257454253
lempel_ziv,0.1612021857923497,0.1769593706794482,0.01931432090171873,-0.8158290921684073,0.015757184887098485,0.8158290921684073
power_bandwidth,0.3825136612021858,0.3205587350921747,0.08675256705622585,0.7141566896787851,0.06195492611001108,0.7141566896787851
spectral_skewness,1.1141281310145028,0.9816784036646445,0.1921554691316921,0.6892841923696952,0.13244972734985827,0.6892841923696952
mse,1.1736697198718469,1.0461656917872704,0.199788727905377,0.6381943036594355,0.1275040280845765,0.6381943036594355
neighbourhood_peaks,16.0,14.63888888888889,2.25708760229736,0.6030386723695234,1.3611111111111107,0.6030386723695234
spectral_decrease,-2.430742708588213,-2.197118480511419,0.3889343090912889,-0.6006778590005001,0.23362422807679417,0.6006778590005001
spectral_kurtosis,3.0198504631067427,2.7299485954895326,0.4870195863124229,0.5952571021060292,0.28990186761721004,0.5952571021060292
max_power_spectrum,39.18128913747442,58.38255789998636,32.79417090898145,-0.5855085897979881,19.201268762511937,0.5855085897979881
spectral_positive_turning,60.0,56.111111111111114,6.83176520915465,0.569236320311144,3.8888888888888857,0.569236320311144
wavelet_entropy,2.15438514868268,2.1412835795651253,0.025002295326014827,0.5240146533235498,0.013101569117554668,0.5240146533235498
hurst_exponent,0.7810042928831374,0.8111955782306723,0.05973570211152385,-0.5054144218673305,0.030191285347534902,0.5054144218673305
spectral_slope,-0.0345456038296337,-0.032409201081745824,0.004466041907918976,-0.47836603236967173,0.002136402747887879,0.47836603236967173
spectral_variation,0.3632404219953189,0.4371668915091802,0.15752883578782503,-0.46928849022557717,0.07392646951386128,0.46928849022557717
spectral_spread,0.144514003622122,0.14788990213321448,0.007379841466544106,-0.4574486493235449,0.00337589851109249,0.4574486493235449
zero_cross,0.0,2.8333333333333335,6.222080497252163,-0.45536751486654814,2.8333333333333335,0.45536751486654814
mfcc,19.28021112671413,23.111573862009102,8.466109232151775,-0.4525529532201868,3.8313627352949737,0.4525529532201868
max_frequency,0.4289617486338797,0.43522527693124563,0.014936013997530456,-0.41935742015249516,0.006263528297365928,0.41935742015249516
spectral_roll_off,0.4289617486338797,0.43522527693124563,0.014936013997530456,-0.41935742015249516,0.006263528297365928,0.41935742015249516
ecdf_percentile_count,182.5,177.52777777777777,17.871743237558174,0.2782169683242151,4.9722222222222285,0.2782169683242151
ecdf,0.0150273224043715,0.0157003988685146,0.002573808375906364,-0.26150993618787854,0.0006730764641431006,0.26150993618787854
higuchi_fractal_dimension,1.8378437737678808,1.8511074207728062,0.07721780286705218,-0.17176928781257594,0.013263647004925438,0.17176928781257594
median_diff,0.0,-4.7757878361111113e-08,2.939333595320956e-07,0.16247859187244196,4.7757878361111113e-08,0.16247859187244196
kurtosis,-0.2705084429895028,-0.22015594870309,0.34140062390722076,-0.1474879972688527,0.05035249428641278,0.1474879972688527
entropy,0.9910162718633524,0.9926229952021218,0.023513946953348568,-0.06833065252537808,0.0016067233387694335,0.06833065252537808
dfa,0.9611535042951472,0.9659842712740618,0.12662704718483625,-0.038149566670880194,0.004830766978914602,0.038149566670880194
human_range_energy,0.0,0.0,,,0.0,
spectral_roll_on,0.0,0.0,,,0.0,
