Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
NO2,12,2,0.973212423367311,0.7535372684000372,0.15712545154295451,30.95531115384951,1,36,0.027777777777777776,1-36
NO2,12,3,0.973212423367311,0.2075423939606951,1.074019032096268,26.146187569178156,1,20,0.05,1-16-20
NO2,12,4,0.973212423367311,0.22341209526475678,0.9466154021444253,23.983215953900697,1,18,0.05555555555555555,1-2-16-18
NO2,12,5,0.973212423367311,0.2293432433474379,0.8203205086849437,24.242506338431003,1,20,0.05,1-1-2-13-20
NO2,12,6,0.973212423367311,0.1983990153812351,0.9292840651255992,22.94916503855606,1,16,0.0625,1-1-2-6-11-16
NO2,12,7,0.973212423367311,0.1849715872535054,1.0180651072762605,21.58191070303726,1,10,0.1,1-1-2-4-9-10-10
NO2,12,8,0.973212423367311,0.17345704435175535,1.0495926804999347,20.22860935885397,1,9,0.1111111111111111,1-1-2-4-5-6-9-9
NO2,12,9,0.973212423367311,0.19083636347112398,1.0211641962804556,20.56522014094634,1,9,0.1111111111111111,1-1-2-4-4-5-5-6-9
NO2,12,10,0.973212423367311,0.20650218412907143,0.9183950340896482,19.65114424311089,1,9,0.1111111111111111,1-1-1-2-3-4-5-5-6-9
NO2,13,2,0.9787356837874028,0.7518363960300167,0.15836650435274552,30.62777986586172,1,36,0.027777777777777776,1-36
NO2,13,3,0.9787356837874028,0.20393549557592477,1.0846612532325883,25.790285347000072,1,20,0.05,1-16-20
NO2,13,4,0.9787356837874028,0.21818965818836253,0.9419256708596795,23.58237398392317,1,20,0.05,1-2-14-20
NO2,13,5,0.9787356837874028,0.22470718227241548,0.8305747405021158,23.71287866303757,1,20,0.05,1-1-2-13-20
NO2,13,6,0.9787356837874028,0.20283818261655298,0.9021389151940556,21.87421026505515,1,16,0.0625,1-1-2-4-13-16
NO2,13,7,0.9787356837874028,0.1581093083892222,0.9895054970549376,20.596800336078047,1,11,0.09090909090909091,1-1-2-6-6-10-11
NO2,13,8,0.9787356837874028,0.1786456347788868,0.9832960694052734,20.07379743959023,1,15,0.06666666666666667,1-1-2-4-4-5-5-15
NO2,13,9,0.9787356837874028,0.17154434047885267,1.042567820080499,19.631513040548832,1,7,0.14285714285714285,1-1-2-4-5-5-6-6-7
NO2,13,10,0.9787356837874028,0.19869732965816372,0.8113065296909083,18.986147529396643,1,9,0.1111111111111111,1-1-1-1-2-3-5-6-8-9
NO2,14,2,0.9829333036205227,0.7505801682208271,0.15925159803048913,30.383440094159806,1,36,0.027777777777777776,1-36
NO2,14,3,0.9829333036205227,0.2010022056809368,1.0926833601262353,25.514855682499583,1,20,0.05,1-16-20
NO2,14,4,0.9829333036205227,0.21467980046669183,0.9502091093390888,23.26925071344507,1,20,0.05,1-2-14-20
NO2,14,5,0.9829333036205227,0.22950395816750999,0.8145426107780519,23.218117821176573,1,22,0.045454545454545456,1-1-2-11-22
NO2,14,6,0.9829333036205227,0.19882753234704756,0.9112913412246053,21.46132904378129,1,16,0.0625,1-1-2-4-13-16
NO2,14,7,0.9829333036205227,0.16997267571416871,1.0016764905216975,20.788122131384707,1,11,0.09090909090909091,1-1-2-5-7-10-11
NO2,14,8,0.9829333036205227,0.16817208400370068,0.9019371567485222,19.100578594970234,1,12,0.08333333333333333,1-1-1-2-4-6-10-12
NO2,14,9,0.9829333036205227,0.16817858478069614,1.0055916399382587,18.58864764458767,1,9,0.1111111111111111,1-1-1-2-3-5-6-9-9
