Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,8,6,0.2357814340791955,0.8482498070585173,26.282815380756997,433.0982858713356,0.9291862607117982
NO2,PCA,68,8,7,0.2214641915470159,0.8218149311402004,26.865092452383838,356.0436631478314,0.9291862607117982
NO2,PCA,68,8,8,0.2493636950262397,0.7566801777532639,25.974136431250496,312.13091159300456,0.9291862607117982
NO2,PCA,68,8,9,0.2160877035785071,0.9091432509094431,25.80654670892584,270.9891086514446,0.9291862607117982
NO2,PCA,68,8,10,0.2579909381918791,0.671342284210724,25.785306217901308,236.4824085748752,0.9291862607117982
NO2,PCA,68,9,2,0.7613374221883321,0.1514096380770207,32.807763670379444,1189.942389831573,0.9440427325502028
NO2,PCA,68,9,3,0.2192098963593692,1.0301296487899012,28.19022367800276,867.2448775279269,0.9440427325502028
NO2,PCA,68,9,4,0.2423339155442694,0.8891311053947674,26.435204438646892,677.4071695888445,0.9440427325502028
NO2,PCA,68,9,5,0.2559562227816561,0.7502915843732401,26.86261768103649,529.0141719086322,0.9440427325502028
NO2,PCA,68,9,6,0.2201046811310428,0.8696124905354069,25.998849459534323,443.9035812713106,0.9440427325502028
NO2,PCA,68,9,7,0.2211056074164094,0.8866148638517498,25.815120768228088,374.0618721287841,0.9440427325502028
NO2,PCA,68,9,8,0.2053632510248984,0.9862567511891098,24.45849782732959,333.9263287322691,0.9440427325502028
NO2,PCA,68,9,9,0.2268424225354172,0.9267634574182848,23.442604635126443,299.4785895565184,0.9440427325502028
NO2,PCA,68,9,10,0.2185105342383391,0.8888386193728047,23.687243444518263,259.1521703259086,0.9440427325502028
NO2,PCA,68,10,2,0.7580430083051626,0.1539344429976977,31.985370159175144,1220.5474669045511,0.9565791958283014
NO2,PCA,68,10,3,0.2144936286575055,1.048825371375404,27.26115375871882,897.2072655876827,0.9565791958283014
NO2,PCA,68,10,4,0.2324633489090878,0.918251566631516,25.299249221352408,707.8832457841808,0.9565791958283014
NO2,PCA,68,10,5,0.2460490401280546,0.7716451156815843,25.671365486001736,555.0036626067566,0.9565791958283014
NO2,PCA,68,10,6,0.2093472582377913,0.8984476051823543,24.66952057115734,469.1680139033604,0.9565791958283014
NO2,PCA,68,10,7,0.209803017133443,0.7920964557839273,22.42189984691594,425.93080881582887,0.9565791958283014
NO2,PCA,68,10,8,0.1694560223286283,1.05627624102731,21.92950920973167,371.18130894410257,0.9565791958283014
NO2,PCA,68,10,9,0.2031911014857325,0.9678819915561134,22.25970340507225,317.39039297846125,0.9565791958283014
NO2,PCA,68,10,10,0.1870276240180193,0.8351929445610601,20.85647337406589,293.7525206997421,0.9565791958283014
NO2,PCA,68,11,2,0.7551815129522842,0.1559399468582047,31.34849945329633,1245.3458451863391,0.9667348558384308
NO2,PCA,68,11,3,0.2094455859360397,1.0660157792437446,26.560336828637062,921.3204884791594,0.9667348558384308
NO2,PCA,68,11,4,0.2266873573694552,0.935663751203244,24.48890994148992,731.7337089345864,0.9667348558384308
NO2,PCA,68,11,5,0.2017295801158294,1.1111614182413527,20.817790267188457,655.3636475438951,0.9667348558384308
