valid_time,latitude,longitude,pm1_ug_m3,pm2p5_ug_m3,pm10_ug_m3
2025-09-19 12:00:00,-7.2,112.4,36.350803,39.755318,41.343533
2025-09-19 12:00:00,-7.2,112.4,40.265877,43.490223,44.861122
2025-09-19 18:00:00,-7.2,112.4,47.63493,51.314793,52.731766
2025-09-19 18:00:00,-7.2,112.4,73.834656,78.53515,79.947655
2025-09-20 00:00:00,-7.2,112.4,81.05565,88.66709,92.42899
2025-09-20 00:00:00,-7.2,112.4,66.6509,72.757416,75.81008
2025-09-20 06:00:00,-7.2,112.4,18.36181,19.952806,20.340738
2025-09-20 06:00:00,-7.2,112.4,15.381825,16.78762,17.16478
2025-09-20 12:00:00,-7.2,112.4,56.053352,61.14101,63.38291
2025-09-20 12:00:00,-7.2,112.4,65.91472,71.54813,73.997284
2025-09-20 18:00:00,-7.2,112.4,91.20555,97.72509,100.099556
2025-09-20 18:00:00,-7.2,112.4,71.19837,76.47725,78.43619
2025-09-21 00:00:00,-7.2,112.4,73.328575,80.173325,83.60774
2025-09-21 00:00:00,-7.2,112.4,82.87958,90.69782,94.62929
2025-09-21 06:00:00,-7.2,112.4,26.4051,28.772089,29.333012
2025-09-21 06:00:00,-7.2,112.4,23.367395,25.33255,25.732903
2025-09-21 12:00:00,-7.2,112.4,88.77743,96.31799,99.67551
2025-09-21 12:00:00,-7.2,112.4,79.64519,86.27552,89.1867
2025-09-21 18:00:00,-7.2,112.4,127.8413,136.7585,139.8384
2025-09-21 18:00:00,-7.2,112.4,64.65922,70.18088,72.66243
2025-09-22 00:00:00,-7.2,112.4,98.623505,105.846596,107.34362
2025-09-22 00:00:00,-7.2,112.4,96.143936,101.28292,101.455956
2025-09-22 06:00:00,-7.2,112.4,29.728014,31.814196,31.93865
2025-09-22 06:00:00,-7.2,112.4,38.564564,41.97419,42.623325
2025-09-22 12:00:00,-7.2,112.4,74.66684,79.86455,81.66205
2025-09-22 12:00:00,-7.2,112.4,66.29188,69.89831,70.1865
2025-09-22 18:00:00,-7.2,112.4,177.86977,187.81213,190.09149
2025-09-22 18:00:00,-7.2,112.4,181.15213,191.8599,194.60634
2025-09-23 00:00:00,-7.2,112.4,103.85247,113.362206,117.957825
2025-09-23 00:00:00,-7.2,112.4,113.47885,122.97721,127.05954
2025-09-23 06:00:00,-7.2,112.4,43.31529,46.591328,47.08819
2025-09-23 06:00:00,-7.2,112.4,45.485245,48.830288,49.303867
2025-09-23 12:00:00,-7.2,112.4,81.56167,86.14342,86.61442
2025-09-23 12:00:00,-7.2,112.4,79.92509,84.897064,85.98244
2025-09-23 18:00:00,-7.2,112.4,142.1854,152.96399,157.32144
2025-09-23 18:00:00,-7.2,112.4,172.80882,183.93939,187.42099
2025-09-24 00:00:00,-7.2,112.4,91.07407,100.23751,104.920105
2025-09-24 00:00:00,-7.2,112.4,63.276447,69.41599,72.077286
2025-09-24 06:00:00,-7.2,112.4,55.632454,59.833496,60.49987
2025-09-24 06:00:00,-7.2,112.4,57.06742,61.51606,62.131905
2025-09-24 12:00:00,-7.2,112.4,66.87531,71.30916,71.73406
2025-09-24 12:00:00,-7.2,112.4,86.94849,92.55337,93.85821
2025-09-24 18:00:00,-7.2,112.4,161.37921,170.12053,170.95613
2025-09-24 18:00:00,-7.2,112.4,137.1003,146.3,149.1901
2025-09-25 00:00:00,-7.2,112.4,103.489525,110.49599,112.20163
2025-09-25 00:00:00,-7.2,112.4,127.941124,136.10457,137.91362
2025-09-25 06:00:00,-7.2,112.4,23.71943,25.836084,26.415129
2025-09-25 06:00:00,-7.2,112.4,18.478563,20.415459,21.070225
2025-09-25 12:00:00,-7.2,112.4,48.844486,52.94622,54.66855
2025-09-25 12:00:00,-7.2,112.4,38.37592,41.816673,43.33576
2025-09-25 18:00:00,-7.2,112.4,62.686466,67.45984,69.28548
2025-09-25 18:00:00,-7.2,112.4,56.848827,61.16704,62.814877
2025-09-26 00:00:00,-7.2,112.4,90.72346,98.95405,103.01352
2025-09-26 00:00:00,-7.2,112.4,72.53777,79.19351,82.55035
2025-09-26 06:00:00,-7.2,112.4,28.15965,30.890802,31.566092
2025-09-26 06:00:00,-7.2,112.4,26.184725,28.650276,29.209229
2025-09-26 12:00:00,-7.2,112.4,85.031845,89.63872,90.002686
2025-09-26 12:00:00,-7.2,112.4,83.102234,87.89726,88.72974
2025-09-26 18:00:00,-7.2,112.4,67.669365,72.24736,73.719376
2025-09-26 18:00:00,-7.2,112.4,108.0233,114.42188,115.98564
2025-09-27 00:00:00,-7.2,112.4,99.45364,108.4133,112.688385
2025-09-27 00:00:00,-7.2,112.4,120.90351,131.85689,137.0176
2025-09-27 06:00:00,-7.2,112.4,27.943798,30.690472,31.4513
2025-09-27 06:00:00,-7.2,112.4,27.03354,30.416487,31.652298
2025-09-27 12:00:00,-7.2,112.4,24.69884,26.703987,27.387497
