Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
SO2,14,3,0.9913213455218809,0.7136202953050119,0.14765482806175426,44.38117402492314,1,35,0.02857142857142857,1-1-35
SO2,14,4,0.9913213455218809,0.4017760943640885,0.5216281847559542,41.770919775056534,1,32,0.03125,1-1-3-32
SO2,14,5,0.9913213455218809,0.41636735614293846,0.46236802047412906,41.273540174501996,1,31,0.03225806451612903,1-1-1-3-31
SO2,14,6,0.9913213455218809,0.14504150073836344,0.8499214807573798,41.4348429167768,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,14,7,0.9913213455218809,0.13694850858891164,0.9245933591619007,38.04382347198799,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,14,8,0.9913213455218809,0.14846758701191645,0.6908207767078258,35.63658360876648,1,18,0.05555555555555555,1-1-1-1-1-2-12-18
SO2,14,9,0.9913213455218809,0.1274796929377163,0.8915583148536468,33.88897164079965,1,12,0.08333333333333333,1-1-1-1-2-2-5-12-12
SO2,14,10,0.9913213455218809,0.09764938132317011,0.9733014454238058,32.22285763097641,1,11,0.09090909090909091,1-1-1-1-1-2-2-6-11-11
SO2,15,2,0.9932621209020118,0.7919280682826895,0.12590777902076508,36.10023252827722,1,36,0.027777777777777776,1-36
SO2,15,3,0.9932621209020118,0.7124412765418441,0.14846390739078208,44.07036132019015,1,35,0.02857142857142857,1-1-35
SO2,15,4,0.9932621209020118,0.39991713233792453,0.5250904896591813,41.39796838240178,1,32,0.03125,1-1-3-32
SO2,15,5,0.9932621209020118,0.41433150417894427,0.4656117216301757,40.8014058168611,1,31,0.03225806451612903,1-1-1-3-31
SO2,15,6,0.9932621209020118,0.14256547131537012,0.8572962662871202,40.84580271688011,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,15,7,0.9932621209020118,0.13396272820961294,0.9342803509213634,37.44610893293996,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,15,8,0.9932621209020118,0.10234648788016602,0.9796643960154592,35.139696344493224,1,13,0.07692307692307693,1-1-1-1-3-8-9-13
SO2,15,9,0.9932621209020118,0.10372458188728631,0.863691772622412,34.166331322285586,1,12,0.08333333333333333,1-1-1-1-1-2-7-11-12
SO2,15,10,0.9932621209020118,0.0945069700805705,0.9826502707814491,31.599767110544395,1,11,0.09090909090909091,1-1-1-1-1-2-2-6-11-11
SO2,16,2,0.9950944936556412,0.7912530101640324,0.1264201306793958,35.9654500560643,1,36,0.027777777777777776,1-36
SO2,16,3,0.9950944936556412,0.7114005948161244,0.1492163935415675,43.78027201286756,1,35,0.02857142857142857,1-1-35
SO2,16,4,0.9950944936556412,0.39802338578736235,0.5265802689876288,41.06449086056618,1,32,0.03125,1-1-3-32
SO2,16,5,0.9950944936556412,0.412347695919284,0.4672799695371085,40.380348902976124,1,31,0.03225806451612903,1-1-1-3-31
SO2,16,6,0.9950944936556412,0.1405949617673601,0.8622912427865752,40.32585398911035,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,16,7,0.9950944936556412,0.13227003403293827,0.9397738045469902,36.96731843675726,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,16,8,0.9950944936556412,0.0991391487855172,0.9999995851026724,35.08723913824209,1,11,0.09090909090909091,1-1-1-1-3-9-10-11
SO2,16,9,0.9950944936556412,0.11397967559385384,0.9487110969866356,33.675254153329966,1,11,0.09090909090909091,1-1-1-1-2-2-7-11-11
SO2,16,10,0.9950944936556412,0.10229028867867022,0.9317727458964475,30.88228622577241,1,11,0.09090909090909091,1-1-1-1-1-2-6-6-7-11
SO2,17,2,0.996443975864691,0.7907381328807904,0.1268075398741758,35.86683109244781,1,36,0.027777777777777776,1-36
SO2,17,3,0.996443975864691,0.7106021826672143,0.14977476421926475,43.5691129601059,1,35,0.02857142857142857,1-1-35
SO2,17,4,0.996443975864691,0.39652138052942104,0.5296331089475639,40.802786033893604,1,32,0.03125,1-1-3-32
SO2,17,5,0.996443975864691,0.41072115184796415,0.4700446942616317,40.052107423915345,1,31,0.03225806451612903,1-1-1-3-31
SO2,17,6,0.996443975864691,0.13898823695156184,0.867607687090719,39.92122958475463,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,17,7,0.996443975864691,0.13042772022982047,0.9462213666394419,36.556655807186736,1,15,0.06666666666666667,1-1-1-2-3-14-15
