Fitur,Cluster_0_Mean,Cluster_1_Mean,Selisih_C1_C0,Abs_Selisih,Mean_Global
spectral_centroid,0.09050225604790524,-3.2580812177245946,-3.3485834737725,3.3485834737725,-1.6803375507840208e-16
median_frequency,0.08972255486268428,-3.2300119750565983,-3.3197345299192826,3.3197345299192826,9.721952972393262e-16
spectral_skewness,-0.0894950237148946,3.2218208537361974,3.311315877451092,3.311315877451092,-2.1604339938651696e-16
zero_cross,0.08644636324390023,-3.112069076780407,-3.198515440024307,3.198515440024307,4.800964430811488e-17
higuchi_fractal_dimension,0.08326877036797808,-2.997675733247178,-3.0809445036151564,3.0809445036151564,9.00180830777154e-16
spectral_variation,-0.06474956972991333,2.3309845102768785,2.395734080006792,2.395734080006792,-4.800964430811488e-17
spectral_spread,0.06321471093115982,-2.27572959352164,-2.3389443044527995,2.3389443044527995,3.0606148246423235e-15
dfa,-0.049363571858132005,1.7770885868927755,1.8264521587509075,1.8264521587509075,6.421289926210365e-16
negative_turning,-0.04769317674660409,1.7169543628777544,1.7646475396243584,1.7646475396243584,2.1604339938651696e-16
petrosian_fractal_dimension,-0.0438662595803642,1.5791853448914641,1.6230516044718284,1.6230516044718284,-4.451694268469952e-14
positive_turning,-0.04240057872900425,1.5264208342441579,1.5688214129731621,1.5688214129731621,1.2602531630880155e-16
mfcc,0.04088482786290041,-1.471853803064415,-1.5127386309273154,1.5127386309273154,6.00120553851436e-18
power_bandwidth,0.03935860441360238,-1.416909758889704,-1.4562683633033062,1.4562683633033062,-5.161036763122349e-16
distance,-0.025098924724081716,0.9035612900669417,0.9286602147910235,0.9286602147910235,-2.400482215405744e-17
hurst_exponent,-0.02434424952440913,0.8763929828787309,0.9007372324031401,0.9007372324031401,6.00120553851436e-17
wavelet_entropy,0.02387404773398598,-0.8594657184229494,-0.8833397661569353,0.8833397661569353,1.4750963213668297e-14
skewness,-0.02277990205828821,0.8200764740983744,0.8428563761566625,0.8428563761566625,-4.200843876960052e-17
lempel_ziv,0.02089346803719058,-0.7521648493388252,-0.7730583173760158,0.7730583173760158,9.87198311085612e-16
fundamental_frequency,-0.01828555887642623,0.6582801195513398,0.676565678427766,0.676565678427766,-1.350271246165731e-16
ecdf_slope,0.016497884567569496,-0.5939238444325021,-0.6104217290000716,0.6104217290000716,-6.00120553851436e-18
max_power_spectrum,-0.011710804097905043,0.42158894752458237,0.4332997516224874,0.4332997516224874,2.250452076942885e-17
mse,0.011395367716890653,-0.4102332378080669,-0.42162860552495757,0.42162860552495757,-1.050210969240013e-16
kurtosis,-0.00828641456680009,0.2983109244048045,0.30659733897160457,0.30659733897160457,3.450693184645757e-17
entropy,0.005328410297727872,-0.19182277071823,-0.19715118101595788,0.19715118101595788,-7.186443632370946e-16
spectral_positive_turning,0.004701639054860724,-0.16925900597498614,-0.17396064502984687,0.17396064502984687,-1.50030138462859e-18
neighbourhood_peaks,-0.004559865388340433,0.1641551539802536,0.16871501936859404,0.16871501936859404,-3.00060276925718e-17
ecdf_percentile_count,0.004461588209744131,-0.16061717555078805,-0.16507876376053218,0.16507876376053218,1.800361661554308e-17
calc_centroid,0.003575394583715508,-0.12871420501375755,-0.13228959959747305,0.13228959959747305,2.0254068692485963e-17
ecdf,-0.0010996664883108369,0.0395879935791925,0.04068766006750334,0.04068766006750334,1.612823988475734e-17
median_diff,-0.00043432972626356037,0.015635870145488694,0.016070199871752254,0.016070199871752254,-3.938291134650048e-18
human_range_energy,0.0,0.0,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0,0.0,0.0
