Fitur,Nilai_Dewi,Mean_36_Data_Lain,Std_36_Data_Lain,ZScore_Dewi,Selisih_Absolut,Abs_ZScore
mean_diff,-1.508657534246575,1.6374629804455552e-05,9.48704566695189e-06,-159024.6280917402,1.5086739088763794,159024.6280917402
slope,-0.4456678600777969,1.9880149640055556e-06,3.4501494787139598e-06,-129174.06936782459,0.4456698480927609,129174.06936782459
wavelet_abs_mean,39.317105609692845,0.001734141469006322,0.0003674488456521849,106995.4959266316,39.31537146822384,106995.4959266316
median_diff,-6.119999999999891,7.5913471725278e-07,0.00011455440546698894,-53424.40331461721,6.120000759134608,53424.40331461721
auc,379752.2275,14.11738951794009,22.976928797601744,16526.930707559048,379738.110110482,16526.930707559048
spectral_distance,-65688864.588982224,-11368.079997106266,61431.97365868416,-1069.1093350490262,65677496.50898512,1069.1093350490262
distance,81378.0,489.6388888888889,797.3300142270461,101.44903574152609,80888.36111111111,101.44903574152609
median_frequency,0.0683060109289617,0.00018922191946714998,0.0011353315168029,59.997267759563144,0.06811678900949455,59.997267759563144
maximum_fractal_length,4.980089719400352,-0.06352202213443575,0.14702101667616654,34.30537929583236,5.043611741534788,34.30537929583236
spectral_centroid,0.1271115819345,0.0788850824659607,0.007173323839795021,6.723033916438574,0.04822649946853931,6.723033916438574
spectral_decrease,-1.978482208882521,-7.514746392928765,0.8845269743037679,6.259011138019808,5.536264184046244,6.259011138019808
skewness,0.8983871435576901,0.21822856965948656,0.15014609954062275,4.52997830765616,0.6801585738982036,4.52997830765616
spectral_skewness,1.025652727253915,1.6832511001256572,0.16421812554570048,-4.004420161821529,0.657598372871742,4.004420161821529
ecdf_slope,0.0007312507312507,114.56018900602619,28.681886959532452,-3.9941395040336074,114.55945775529494,3.9941395040336074
lpcc,0.7131876348281336,0.9100332621608855,0.06176009500285257,-3.187262379108387,0.1968456273327519,3.187262379108387
spectral_kurtosis,2.84748520156339,4.711343176032013,0.6625003937927367,-2.8133688552217397,1.8638579744686234,2.8133688552217397
max_frequency,0.4453551912568306,0.3983093665289312,0.018043569355759768,2.607345797292691,0.04704582472789942,2.607345797292691
spectral_roll_off,0.4453551912568306,0.3983093665289312,0.018043569355759768,2.607345797292691,0.04704582472789942,2.607345797292691
spectral_spread,0.1465303367303832,0.13112397527055533,0.006524685541134426,2.3612419882459537,0.015406361459827878,2.3612419882459537
negative_turning,101.0,66.27777777777777,15.314999391093895,2.267203630606357,34.72222222222223,2.267203630606357
positive_turning,97.0,66.02777777777777,15.3594756441583,2.016489556009157,30.97222222222223,2.016489556009157
mfcc,23.10611525654973,13.645521982055321,5.113897898601251,1.849976957319008,9.46059327449441,1.849976957319008
fundamental_frequency,0.0054644808743169,0.003137721503221661,0.0013014743348658047,1.787787364500854,0.002326759371095239,1.787787364500854
petrosian_fractal_dimension,1.0353014731321413,1.0248809473006928,0.006296344984499978,1.655011892947607,0.01042052583144848,1.655011892947607
spectral_slope,-0.0317112768592054,-0.044329592108463566,0.008703407277763753,1.4498132566422088,0.012618315249258168,1.4498132566422088
higuchi_fractal_dimension,1.8326802803984663,1.888025562155968,0.03979359055153137,-1.3908089466275093,0.05534528175750175,1.3908089466275093
wavelet_entropy,2.158465889021179,2.125531639693729,0.024736883632436098,1.3313823122111053,0.032934249327449816,1.3313823122111053
spectral_entropy,0.7104867815652905,0.786230410809604,0.06325722029327238,-1.1973910471113292,0.07574362924431344,1.1973910471113292
neighbourhood_peaks,11.0,14.75,3.5486415912088307,-1.0567423910292888,3.75,1.0567423910292888
mse,1.4185475117643298,1.2372537849773446,0.18832706796106308,0.962653583203812,0.1812937267869852,0.962653583203812
kurtosis,0.063571131950006,-0.12669705774096185,0.276684401719733,0.6876722666993699,0.19026818969096784,0.6876722666993699
max_power_spectrum,66.10350053556026,38.53779531323726,43.601791751966346,0.6322149644476444,27.565705222322997,0.6322149644476444
hurst_exponent,0.8016081924165326,0.7766981343733854,0.04160543028857811,0.598721317634965,0.024910058043147165,0.598721317634965
spectral_variation,0.568854468275367,0.620151698969768,0.11648688408186372,-0.4403691548513796,0.05129723069440095,0.4403691548513796
dfa,0.9984849285551758,0.9489312184281309,0.13057059175707014,0.37951662361491645,0.0495537101270449,0.37951662361491645
lempel_ziv,0.174863387978142,0.1815809503576988,0.027532608899550715,-0.24398568272498258,0.006717562379556813,0.24398568272498258
calc_centroid,173.11631616214973,246.9872852306406,402.0702427766114,-0.18372652638592127,73.87096906849087,0.18372652638592127
autocorr,5.0,4.194444444444445,4.868672124303325,0.16545693260681937,0.8055555555555554,0.16545693260681937
ecdf_percentile_count,182.5,244.93055555555554,398.6440974958164,-0.15660724929261174,62.43055555555554,0.15660724929261174
spectral_positive_turning,59.0,78.25,129.32934149460658,-0.14884480024049904,19.25,0.14884480024049904
ecdf,0.0150273224043715,0.015166890357469357,0.0033099007569476094,-0.04216680902135736,0.000139567953097856,0.04216680902135736
entropy,0.982897879230254,0.9801186562472048,0.07745139259962247,0.03588344753742568,0.002779222983049112,0.03588344753742568
power_bandwidth,0.3524590163934426,0.3527717911608043,0.07179220376583127,-0.004356667590005805,0.00031277476736168985,0.004356667590005805
human_range_energy,0.0,0.0,,,0.0,
spectral_roll_on,0.0,0.0,,,0.0,
zero_cross,0.0,0.0,,,0.0,
