Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
CO,6,3,0.9234284897340822,0.7469362351071855,0.1253929737572962,62.18104477488558,1,35,0.02857142857142857,1-1-35
CO,6,4,0.9234284897340822,0.23198206868683674,0.7312659850652822,60.03616245460977,1,21,0.047619047619047616,1-1-14-21
CO,6,5,0.9234284897340822,0.2664618308247004,0.7018424324361989,64.84896359432838,1,20,0.05,1-1-2-13-20
CO,6,6,0.9234284897340822,0.2480839671138622,0.7487284213610074,64.89824600226557,1,15,0.06666666666666667,1-1-2-7-11-15
CO,6,7,0.9234284897340822,0.2567396616123586,0.590513476036897,71.49204273612214,1,11,0.09090909090909091,1-1-1-2-10-11-11
CO,6,8,0.9234284897340822,0.27839666764910126,0.6036284236115107,77.98164633268189,1,12,0.08333333333333333,1-1-1-2-2-9-9-12
CO,6,9,0.9234284897340822,0.25632283949139606,0.605534230585874,78.14550579898805,1,11,0.09090909090909091,1-1-1-1-2-4-8-8-11
CO,6,10,0.9234284897340822,0.26244272603219554,0.5410853114264854,80.10557528686148,1,11,0.09090909090909091,1-1-1-1-1-2-4-7-8-11
CO,7,2,0.9400387238045048,0.818062992025059,0.10761337420033944,45.77358310028932,1,36,0.027777777777777776,1-36
CO,7,3,0.9400387238045048,0.7349019101981152,0.13337320249637857,57.45917100195611,1,35,0.02857142857142857,1-1-35
CO,7,4,0.9400387238045048,0.41825360779388776,0.6151926201300066,56.49283186968639,1,31,0.03225806451612903,1-1-4-31
CO,7,5,0.9400387238045048,0.23736664746946845,0.7703003538842212,55.99413599099252,1,20,0.05,1-1-2-13-20
CO,7,6,0.9400387238045048,0.22584613519380314,0.8202267265248735,55.44394755357298,1,15,0.06666666666666667,1-1-2-7-11-15
CO,7,7,0.9400387238045048,0.23576530118728153,0.6779307268824193,59.330091498961245,1,15,0.06666666666666667,1-1-1-2-7-10-15
CO,7,8,0.9400387238045048,0.24726235418972603,0.6485648356130765,58.323558115406065,1,12,0.08333333333333333,1-1-1-2-3-7-10-12
CO,7,9,0.9400387238045048,0.2515101668699204,0.594579985411588,60.720662372555864,1,10,0.1,1-1-1-1-2-3-8-10-10
CO,7,10,0.9400387238045048,0.22965874947907666,0.6741249060915954,61.12416158839512,1,9,0.1111111111111111,1-1-1-1-2-3-5-7-7-9
CO,8,2,0.9518389139316508,0.8132737882195963,0.11120300015069892,44.48620924437984,1,36,0.027777777777777776,1-36
CO,8,3,0.9518389139316508,0.7268499652545709,0.13882979668316145,54.46719916225005,1,35,0.02857142857142857,1-1-35
CO,8,4,0.9518389139316508,0.40267783642911287,0.6302075383664736,52.70964610680364,1,31,0.03225806451612903,1-1-4-31
CO,8,5,0.9518389139316508,0.2263046623793369,0.7943859626968302,51.3077046168467,1,21,0.047619047619047616,1-1-2-12-21
CO,8,6,0.9518389139316508,0.2051748029511523,0.8165469889763587,49.50307477988052,1,13,0.07692307692307693,1-1-2-9-11-13
CO,8,7,0.9518389139316508,0.21934147637548063,0.7081558500311027,51.212371258170755,1,15,0.06666666666666667,1-1-1-2-8-9-15
CO,8,8,0.9518389139316508,0.20967174349034645,0.7372227107824185,52.57723348070501,1,11,0.09090909090909091,1-1-1-2-3-9-9-11
CO,8,9,0.9518389139316508,0.2095788518264045,0.7954246302158257,52.51454156223685,1,10,0.1,1-1-1-2-3-5-7-7-10
CO,8,10,0.9518389139316508,0.20735369717715896,0.6847441373890861,50.12569021728394,1,9,0.1111111111111111,1-1-1-1-2-2-4-8-8-9
CO,9,2,0.9623155256763891,0.8096816345573179,0.1139300155375189,43.40191970296014,1,36,0.027777777777777776,1-36
CO,9,3,0.9623155256763891,0.7208102505235654,0.14285661882971015,52.06412834825516,1,35,0.02857142857142857,1-1-35
CO,9,4,0.9623155256763891,0.3924593937686551,0.6480758905302744,49.68843984326083,1,31,0.03225806451612903,1-1-4-31
CO,9,5,0.9623155256763891,0.22784485467630122,0.8015807153750826,49.02751748409381,1,21,0.047619047619047616,1-1-2-12-21
CO,9,6,0.9623155256763891,0.1875939945703843,0.8878141831047301,45.36379480485664,1,13,0.07692307692307693,1-1-2-10-10-13
CO,9,7,0.9623155256763891,0.20224913586001167,0.7613962855855417,47.33965701139277,1,16,0.0625,1-1-1-2-6-10-16
