Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
CO,14,9,0.16402430347376404,0.8157303178975837,34.73885881879747,218.08417339733938,0.9907086328666469
CO,14,10,0.1268554936056478,0.9941037470074889,32.79582590225773,199.68704746890683,0.9907086328666469
CO,15,2,0.7979182159677546,0.12289375548557332,40.49377769442066,1107.379726282971,0.9931723062585676
CO,15,3,0.7010698594823679,0.1564055413046415,46.07026976422212,643.8191860155332,0.9931723062585676
CO,15,4,0.35079409111159315,0.6862272381461283,42.289224828329665,493.05227176249764,0.9931723062585676
CO,15,5,0.19194653899534614,0.9063402990649981,40.05146395513176,397.6701977333639,0.9931723062585676
CO,15,6,0.12778700862202233,1.0480795454366678,35.5106693895525,355.0456627850441,0.9931723062585676
CO,15,7,0.16811475274170737,0.8434093897462684,35.686967345217454,293.53126472728155,0.9931723062585676
CO,15,8,0.15125925136668766,0.8061800136797955,34.254801468635414,257.7121515248978,0.9931723062585676
CO,15,9,0.15965013494418387,0.8273675480510946,33.83416523430395,223.924328707101,0.9931723062585676
CO,15,10,0.11156085492481488,0.9932775562640577,31.255465599510188,209.18525158677255,0.9931723062585676
CO,16,2,0.7972633456188795,0.12337599310893287,40.33203227929115,1111.8207072397986,0.9950188702889545
CO,16,3,0.6999921276977248,0.15713885075929376,45.75682183043442,648.2378381378644,0.9950188702889545
CO,16,4,0.3484044412015691,0.6878993540765386,41.91480437376685,497.4642640187926,0.9950188702889545
CO,16,5,0.19004611938973684,0.9115407060650125,39.61488575084175,402.0625643110162,0.9950188702889545
CO,16,6,0.12715217893316588,1.0551035179937003,35.099217668629606,359.2495745058245,0.9950188702889545
CO,16,7,0.17777636111900072,0.8293831377043303,35.187164612082505,297.7344142270568,0.9950188702889545
CO,16,8,0.14827359768895396,0.8221376977474375,33.7659332195328,261.52091618138974,0.9950188702889545
CO,16,9,0.1574035794566971,0.8359036663796849,33.22822148209743,228.0418436471207,0.9950188702889545
CO,16,10,0.1518531646438906,0.7874767692810944,31.08892374513101,210.59805826695285,0.9950188702889545
CO,17,2,0.7968130185948763,0.12370833933992825,40.22167109711041,1114.871348199723,0.9962873284214023
CO,17,3,0.6992436545542859,0.15764172076587413,45.5425219184027,651.288214371215,0.9962873284214023
CO,17,4,0.34701958157651885,0.69011080109402,41.6611660528983,500.4974870270201,0.9962873284214023
CO,17,5,0.18843676199017906,0.9157651585279268,39.32217445436638,405.06524520153636,0.9962873284214023
CO,17,6,0.13903434380910631,1.0393851532799199,35.24569935861691,358.4362330467692,0.9962873284214023
CO,17,7,0.17684290188619545,0.8341604414586419,34.86833548355601,300.4980012072177,0.9962873284214023
